email,phone,fullName,role
driver01@busdn.example.com,0901000001,Nguyen Van Driver 01,DRIVER
driver02@busdn.example.com,0901000002,Nguyen Van Driver 02,DRIVER
driver03@busdn.example.com,0901000003,Nguyen Van Driver 03,DRIVER
driver04@busdn.example.com,0901000004,Nguyen Van Driver 04,DRIVER
driver05@busdn.example.com,0901000005,Nguyen Van Driver 05,DRIVER
driver06@busdn.example.com,0901000006,Nguyen Van Driver 06,DRIVER
driver07@busdn.example.com,0901000007,Nguyen Van Driver 07,DRIVER
driver08@busdn.example.com,0901000008,Nguyen Van Driver 08,DRIVER
driver09@busdn.example.com,0901000009,Nguyen Van Driver 09,DRIVER
driver10@busdn.example.com,0901000010,Nguyen Van Driver 10,DRIVER
driver11@busdn.example.com,0901000011,Nguyen Van Driver 11,DRIVER
driver12@busdn.example.com,0901000012,Nguyen Van Driver 12,DRIVER
driver13@busdn.example.com,0901000013,Nguyen Van Driver 13,DRIVER
driver14@busdn.example.com,0901000014,Nguyen Van Driver 14,DRIVER
driver15@busdn.example.com,0901000015,Nguyen Van Driver 15,DRIVER
driver16@busdn.example.com,0901000016,Nguyen Van Driver 16,DRIVER
driver17@busdn.example.com,0901000017,Nguyen Van Driver 17,DRIVER
driver18@busdn.example.com,0901000018,Nguyen Van Driver 18,DRIVER
driver19@busdn.example.com,0901000019,Nguyen Van Driver 19,DRIVER
driver20@busdn.example.com,0901000020,Nguyen Van Driver 20,DRIVER
assistant01@busdn.example.com,0902000001,Tran Thi Assistant 01,BUS_ASSISTANT
assistant02@busdn.example.com,0902000002,Tran Thi Assistant 02,BUS_ASSISTANT
assistant03@busdn.example.com,0902000003,Tran Thi Assistant 03,BUS_ASSISTANT
assistant04@busdn.example.com,0902000004,Tran Thi Assistant 04,BUS_ASSISTANT
assistant05@busdn.example.com,0902000005,Tran Thi Assistant 05,BUS_ASSISTANT
assistant06@busdn.example.com,0902000006,Tran Thi Assistant 06,BUS_ASSISTANT
assistant07@busdn.example.com,0902000007,Tran Thi Assistant 07,BUS_ASSISTANT
assistant08@busdn.example.com,0902000008,Tran Thi Assistant 08,BUS_ASSISTANT
assistant09@busdn.example.com,0902000009,Tran Thi Assistant 09,BUS_ASSISTANT
assistant10@busdn.example.com,0902000010,Tran Thi Assistant 10,BUS_ASSISTANT
assistant11@busdn.example.com,0902000011,Tran Thi Assistant 11,BUS_ASSISTANT
assistant12@busdn.example.com,0902000012,Tran Thi Assistant 12,BUS_ASSISTANT
assistant13@busdn.example.com,0902000013,Tran Thi Assistant 13,BUS_ASSISTANT
assistant14@busdn.example.com,0902000014,Tran Thi Assistant 14,BUS_ASSISTANT
assistant15@busdn.example.com,0902000015,Tran Thi Assistant 15,BUS_ASSISTANT
assistant16@busdn.example.com,0902000016,Tran Thi Assistant 16,BUS_ASSISTANT
assistant17@busdn.example.com,0902000017,Tran Thi Assistant 17,BUS_ASSISTANT
assistant18@busdn.example.com,0902000018,Tran Thi Assistant 18,BUS_ASSISTANT
assistant19@busdn.example.com,0902000019,Tran Thi Assistant 19,BUS_ASSISTANT
assistant20@busdn.example.com,0902000020,Tran Thi Assistant 20,BUS_ASSISTANT
